repeat,fold,strategy,model,roc_auc,pr_auc,best_params,error,seconds
0,4,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,3.2
0,4,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.7
0,4,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.8
0,4,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,5.0
0,4,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,7.4
0,4,pathway,xgboost,0.9871134020618557,0.9988987991707672,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,3.8
1,0,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,10.4
1,0,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,11.1
1,0,de_informed,xgboost,0.9895833333333333,0.9983974358974359,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,8.2
1,0,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.7
1,0,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.3
1,0,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.9
1,0,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,4.3
1,0,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,6.4
1,0,pathway,xgboost,1.0,0.9999999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,3.9
1,1,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,9.3
1,1,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,10.5
1,1,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,7.3
1,1,data_driven,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,3.3
1,1,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.3
1,1,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,1.5
1,1,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.5}",,3.9
1,1,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,6.6
1,1,pathway,xgboost,1.0,1.0,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,4.4
1,2,de_informed,elastic_net,1.0,0.9999999999999999,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,11.4
1,2,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,11.4
1,2,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,7.8
1,2,data_driven,elastic_net,0.9976851851851851,0.9997841047394044,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,2.5
1,2,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.2
1,2,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,1.8
1,2,pathway,elastic_net,1.0,0.9999999999999999,"{'clf__C': 1.0, 'clf__l1_ratio': 0.8}",,5.8
1,2,pathway,random_forest,0.994212962962963,0.999458443295898,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,6.8
1,2,pathway,xgboost,0.9982638888888888,0.9997841047394044,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,4.0
1,3,de_informed,elastic_net,1.0,1.0000000000000002,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,12.2
1,3,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,16.7
1,3,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,9.6
1,3,data_driven,elastic_net,1.0,1.0000000000000002,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,3.1
1,3,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,4.6
1,3,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.7
1,3,pathway,elastic_net,1.0,1.0000000000000002,"{'clf__C': 1.0, 'clf__l1_ratio': 0.8}",,4.8
1,3,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,7.9
1,3,pathway,xgboost,1.0,1.0,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,5.3
1,4,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,12.3
1,4,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,12.4
1,4,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,7.6
1,4,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.6
1,4,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.3
1,4,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.4
1,4,pathway,elastic_net,0.9935567010309279,0.999494643218112,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,3.8
1,4,pathway,random_forest,0.9974226804123711,0.9997917317504947,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,6.2
1,4,pathway,xgboost,0.9793814432989691,0.9981726141481491,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,3.8
2,0,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,10.2
2,0,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,10.0
2,0,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,7.2
2,0,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.6
2,0,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.3
2,0,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.4
2,0,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,3.7
2,0,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,6.1
2,0,pathway,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,3.5
2,1,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,9.6
2,1,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,10.0
2,1,de_informed,xgboost,0.9375,0.9897959183673469,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,7.0
2,1,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.6
2,1,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.1
2,1,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.4
2,1,pathway,elastic_net,0.9935567010309279,0.999494643218112,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,3.8
2,1,pathway,random_forest,1.0,0.9999999999999998,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,6.3
2,1,pathway,xgboost,1.0,0.9999999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,3.7
2,2,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,9.4
2,2,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,10.3
2,2,de_informed,xgboost,0.9947916666666667,0.999198717948718,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,8.0
2,2,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.5
2,2,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.2
2,2,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.5
2,2,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.5}",,4.1
2,2,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,6.7
2,2,pathway,xgboost,0.9869791666666666,0.9988727861917878,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,3.7
2,3,de_informed,elastic_net,1.0,0.9999999999999999,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,9.5
2,3,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,10.4
2,3,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,7.1
2,3,data_driven,elastic_net,1.0,0.9999999999999999,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.9
2,3,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,3.4
2,3,data_driven,xgboost,0.9988425925925927,0.9998926116838489,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.5
2,3,pathway,elastic_net,1.0,0.9999999999999999,"{'clf__C': 1.0, 'clf__l1_ratio': 0.8}",,4.6
2,3,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,6.3
2,3,pathway,xgboost,0.9965277777777777,0.9995648064937903,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,3.7
2,4,de_informed,elastic_net,1.0,1.0000000000000002,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,10.3
2,4,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,11.9
2,4,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,8.6
2,4,data_driven,elastic_net,1.0,1.0000000000000002,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,3.0
2,4,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.6
2,4,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.6
2,4,pathway,elastic_net,1.0,1.0000000000000002,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,4.5
2,4,pathway,random_forest,0.9960526315789474,0.9996675654702265,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,7.4
