strategy,gene_id,elastic_net_coefficient,random_forest_gini_importance
data_driven,ENSG00000196616,-0.1262896716398429,0.015090280002731495
data_driven,ENSG00000133742,-0.10350764864233432,0.040101659726214364
data_driven,ENSG00000103375,-0.09710579186515503,0.02982062464875005
data_driven,ENSG00000197273,-0.08679845656330754,0.08672935673694175
data_driven,ENSG00000100604,-0.08585755858997836,0.03478386446568985
data_driven,ENSG00000204936,-0.08400250536460438,0.01712688647037863
data_driven,ENSG00000137673,0.0772399971416296,0.024880043701205317
data_driven,ENSG00000080493,-0.07541816375423033,0.05183843775613891
data_driven,ENSG00000060718,0.0735215505465044,0.04037224970259361
data_driven,ENSG00000133392,-0.0687548985936226,0.004066903421043007
data_driven,ENSG00000104267,-0.0579033540501601,0.0780825649673789
data_driven,ENSG00000015413,0.05382820344672017,0.00354236728535211
data_driven,ENSG00000166825,-0.05155095036056911,0.0008331527144665364
data_driven,ENSG00000071203,-0.05088490194581792,0.005160722297664462
data_driven,ENSG00000165376,0.0493832978668646,0.0034460822498726296
data_driven,ENSG00000016602,-0.046468072136260065,0.020736834577249164
data_driven,ENSG00000155850,-0.04464683663609673,0.015317812851827074
data_driven,ENSG00000167080,-0.04307756491189673,0.008866412237664411
data_driven,ENSG00000167434,-0.04157132702113421,0.035816163574206306
data_driven,ENSG00000149968,0.03848760927606985,0.0005363728553227018
data_driven,ENSG00000170373,0.037967796508832925,0.01594092424388765
data_driven,ENSG00000166869,-0.030636167494783307,0.04948415295396921
data_driven,ENSG00000196611,0.02861777599522952,0.003649275621804163
data_driven,ENSG00000248144,-0.028151242554040765,0.03927419024877152
data_driven,ENSG00000183734,0.026227042629921777,0.0008847632904976282
data_driven,ENSG00000214039,0.02589511785340283,0.0
data_driven,ENSG00000163017,-0.021474796008334376,0.003921713124956494
data_driven,ENSG00000135220,-0.0172537186905284,0.003800380663192322
data_driven,ENSG00000174992,-0.013761457411123527,0.035277966998230784
data_driven,ENSG00000123500,0.010879658250153692,0.004154680491562577
data_driven,ENSG00000169429,0.009706633449954264,0.0027901572621928093
data_driven,ENSG00000175084,-0.004515785699139251,0.006194156481602876
data_driven,ENSG00000129451,0.0038607294631222704,0.002213359771220115
data_driven,ENSG00000108244,0.003190002146030315,0.0010904072310949848
data_driven,ENSG00000073737,-0.0020039282633433,0.007152770167768208
data_driven,ENSG00000206075,0.0006832762432740665,0.000626127674241748
data_driven,ENSG00000012817,0.0,0.0
data_driven,ENSG00000134193,0.0,0.00014011148892248122
data_driven,ENSG00000224373,0.0,0.00013408751136661362
data_driven,ENSG00000179914,0.0,0.001443560382273757
data_driven,ENSG00000247627,0.0,0.0
data_driven,ENSG00000106483,0.0,0.00024814918107601033
data_driven,ENSG00000211677,0.0,0.0
data_driven,ENSG00000114374,0.0,9.742441209406496e-05
data_driven,ENSG00000227097,0.0,0.0
data_driven,ENSG00000129824,0.0,0.00011378427936748
data_driven,ENSG00000148600,0.0,0.00017093495934959342
data_driven,ENSG00000211637,0.0,0.0016491756292370022
data_driven,ENSG00000124882,0.0,0.0017702166458908855
data_driven,ENSG00000117983,0.0,0.00046932360931029764
data_driven,ENSG00000198488,0.0,0.00015931160769781357
data_driven,ENSG00000259823,0.0,0.013446627402973633
data_driven,ENSG00000066405,0.0,0.0
data_driven,ENSG00000107159,0.0,0.00012074265212340537
data_driven,ENSG00000172016,0.0,0.0
data_driven,ENSG00000211895,0.0,0.005117301738434297
data_driven,ENSG00000210144,0.0,0.00019004175384801795
data_driven,ENSG00000168243,0.0,0.0006015892393207014
data_driven,ENSG00000171431,0.0,0.016024401162299244
data_driven,ENSG00000240563,0.0,0.0011797765023396785
data_driven,ENSG00000211651,0.0,0.0
data_driven,ENSG00000205277,0.0,0.00028578653244995685
data_driven,ENSG00000211653,0.0,0.00014303982462550235
data_driven,ENSG00000211899,0.0,0.0
data_driven,ENSG00000211962,0.0,0.00012876930477457847
data_driven,ENSG00000275395,0.0,0.0005511438169892818
data_driven,ENSG00000215182,0.0,0.0012147879953599459
data_driven,ENSG00000185269,0.0,0.010068365302910493
data_driven,ENSG00000278196,0.0,0.00042356459630569154
data_driven,ENSG00000066230,0.0,0.002517877645818109
data_driven,ENSG00000211659,0.0,0.0
data_driven,ENSG00000164398,0.0,0.00026761429321230063
data_driven,ENSG00000122711,0.0,0.00019866642309097554
data_driven,ENSG00000159182,0.0,0.0
data_driven,ENSG00000211640,0.0,0.0
data_driven,ENSG00000184956,0.0,0.0007493585263837085
data_driven,ENSG00000016490,0.0,0.003018541673428622
data_driven,ENSG00000106236,0.0,0.0
data_driven,ENSG00000211663,0.0,0.0001291800294653764
data_driven,ENSG00000241755,0.0,0.00038061909701701325
data_driven,ENSG00000115386,0.0,0.0
data_driven,ENSG00000145423,0.0,0.00024136663453068767
data_driven,ENSG00000243709,0.0,0.0
data_driven,ENSG00000275896,0.0,0.0
data_driven,ENSG00000163515,0.0,0.000769961414118933
data_driven,ENSG00000167244,0.0,0.0
data_driven,ENSG00000211945,0.0,0.0
data_driven,ENSG00000166165,0.0,0.0005142414679230277
data_driven,ENSG00000243466,0.0,0.00012029248340793336
data_driven,ENSG00000211892,0.0,0.00011867559523809526
data_driven,ENSG00000134762,0.0,0.0005600374805740928
data_driven,ENSG00000134240,0.0,0.0014136031347797694
data_driven,ENSG00000211673,0.0,0.0
data_driven,ENSG00000197888,0.0,0.00047199268677529605
data_driven,ENSG00000188257,0.0,0.0007360782751198473
data_driven,ENSG00000177984,0.0,0.0003514987631046962
data_driven,ENSG00000211935,0.0,0.0001973199121031457
data_driven,ENSG00000211666,0.0,0.000293821295104993
data_driven,ENSG00000198788,0.0,0.0002432896426395746
data_driven,ENSG00000272620,0.0,0.00030750946055506346
data_driven,ENSG00000211959,0.0,0.0
data_driven,ENSG00000175426,0.0,0.0006038297081241866
data_driven,ENSG00000134827,0.0,0.00109292919555174
data_driven,ENSG00000213058,0.0,0.00016138693832437386
data_driven,ENSG00000183844,0.0,0.0002871241684048963
data_driven,ENSG00000067048,0.0,0.0
data_driven,ENSG00000101144,0.0,0.0001604968638543845
data_driven,ENSG00000172023,0.0,1.3535723835233146e-05
data_driven,ENSG00000131730,0.0,0.0007301611090295992
data_driven,ENSG00000211662,0.0,0.0
data_driven,ENSG00000130600,0.0,0.000537037037037037
