pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
REACTOME_TIGHT_JUNCTION_INTERACTIONS,2,29,149,57622,ENSG00000156284;ENSG00000163347,0.0025757075750428996,0.008787708197205188,C2_CanonicalPathways
WP_DISORDERS_OF_BILE_ACID_SYNTHESIS_AND_BILIARY_TRANSPORT,2,29,149,57622,ENSG00000073734;ENSG00000186198,0.0025757075750428996,0.008787708197205188,C2_CanonicalPathways
REACTOME_DRUG_ADME,3,106,149,57622,ENSG00000114200;ENSG00000118777;ENSG00000242366,0.002690354707427045,0.008916604173186779,C2_CanonicalPathways
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,2,33,149,57622,ENSG00000092009;ENSG00000197561,0.003327088125160215,0.010430870878880673,C2_CanonicalPathways
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,2,33,149,57622,ENSG00000065325;ENSG00000115263,0.003327088125160215,0.010430870878880673,C2_CanonicalPathways
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,4,242,149,57622,ENSG00000062038;ENSG00000162706;ENSG00000164379;ENSG00000175161,0.0037199675484893236,0.010836179092292562,C2_CanonicalPathways
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,4,241,149,57622,ENSG00000101187;ENSG00000104888;ENSG00000179520;ENSG00000196660,0.0036657298874144826,0.010836179092292562,C2_CanonicalPathways
REACTOME_GLUTATHIONE_CONJUGATION,2,35,149,57622,ENSG00000134201;ENSG00000163106,0.0037366134801008837,0.010836179092292562,C2_CanonicalPathways
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,2,36,149,57622,ENSG00000156284;ENSG00000163347,0.003949729914192168,0.01117484561088516,C2_CanonicalPathways
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,3,129,149,57622,ENSG00000070748;ENSG00000114200;ENSG00000163295,0.004668059281301201,0.012805331420176244,C2_CanonicalPathways
REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,2,40,149,57622,ENSG00000118777;ENSG00000167916,0.004857194676618575,0.012805331420176244,C2_CanonicalPathways
WP_ADIPOGENESIS,3,130,149,57622,ENSG00000101255;ENSG00000143171;ENSG00000152785,0.004769381415100043,0.012805331420176244,C2_CanonicalPathways
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,3,132,149,57622,ENSG00000070748;ENSG00000104888;ENSG00000163497,0.004975996017488901,0.012827011956193611,C2_CanonicalPathways
REACTOME_ASPIRIN_ADME,2,42,149,57622,ENSG00000114200;ENSG00000242366,0.005343514465552807,0.013340591853366973,C2_CanonicalPathways
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,3,136,149,57622,ENSG00000103888;ENSG00000133800;ENSG00000172987,0.005405239802657308,0.013340591853366973,C2_CanonicalPathways
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,2,44,149,57622,ENSG00000073734;ENSG00000186198,0.005851248006871503,0.014140516016606134,C2_CanonicalPathways
WP_SYNAPTIC_VESICLE_PATHWAY,2,50,149,57622,ENSG00000104888;ENSG00000179520,0.007500628715971615,0.017060253550053084,C2_CanonicalPathways
KEGG_STARCH_AND_SUCROSE_METABOLISM,2,50,149,57622,ENSG00000242366;ENSG00000249948,0.007500628715971615,0.017060253550053084,C2_CanonicalPathways
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,3,153,149,57622,ENSG00000103375;ENSG00000118777;ENSG00000167916,0.00747374195276676,0.017060253550053084,C2_CanonicalPathways
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,2,51,149,57622,ENSG00000070748;ENSG00000104888,0.007793627781515005,0.017385785051071932,C2_CanonicalPathways
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER,3,159,149,57622,ENSG00000156284;ENSG00000163347;ENSG00000164379,0.008300655103114807,0.018167471546439953,C2_CanonicalPathways
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,4,311,149,57622,ENSG00000131096;ENSG00000157005;ENSG00000185149;ENSG00000274736,0.0089038887718646,0.01912687217659803,C2_CanonicalPathways
REACTOME_SIGNALING_BY_GPCR,6,700,149,57622,ENSG00000065325;ENSG00000115263;ENSG00000131096;ENSG00000157005;ENSG00000185149;ENSG00000274736,0.010026191615993087,0.02114614959009451,C2_CanonicalPathways
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,4,328,149,57622,ENSG00000131096;ENSG00000157005;ENSG00000185149;ENSG00000274736,0.010664751849674668,0.02209127168861181,C2_CanonicalPathways
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,2,67,149,57622,ENSG00000134201;ENSG00000242366,0.013156038158782886,0.026773691691558157,C2_CanonicalPathways
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,2,69,149,57622,ENSG00000134201;ENSG00000242366,0.013912509774405665,0.02782501954881133,C2_CanonicalPathways
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,3,196,149,57622,ENSG00000120254;ENSG00000138669;ENSG00000157193,0.014565153412862023,0.028636572811728725,C2_CanonicalPathways
WP_CIRCADIAN_RHYTHM_GENES,3,201,149,57622,ENSG00000036672;ENSG00000138669;ENSG00000185149,0.015569232251386733,0.029607064609194444,C2_CanonicalPathways
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_INTEGUMENTARY_SYSTEM,2,73,149,57622,ENSG00000118777;ENSG00000167916,0.015480566388091805,0.029607064609194444,C2_CanonicalPathways
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,2,80,149,57622,ENSG00000102683;ENSG00000179915,0.018397188236354427,0.03442054573253409,C2_CanonicalPathways
PID_CMYB_PATHWAY,2,84,149,57622,ENSG00000133742;ENSG00000197561,0.020159626093484345,0.037119311537209265,C2_CanonicalPathways
REACTOME_PLATELET_HOMEOSTASIS,2,86,149,57622,ENSG00000138669;ENSG00000157193,0.021066323509463983,0.03818271136090347,C2_CanonicalPathways
REACTOME_NEURONAL_SYSTEM,4,411,149,57622,ENSG00000070748;ENSG00000104888;ENSG00000114200;ENSG00000179915,0.02243123496149691,0.04003112700820988,C2_CanonicalPathways
