pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,4,12,182,57622,ENSG00000104267;ENSG00000107159;ENSG00000133742;ENSG00000167434,4.6728082689685314e-08,2.9518471747874385e-07,C2_CanonicalPathways
REACTOME_COLLAGEN_DEGRADATION,6,64,182,57622,ENSG00000060718;ENSG00000123500;ENSG00000137673;ENSG00000149968;ENSG00000196611;ENSG00000275896,5.885734149333375e-08,3.629536058755581e-07,C2_CanonicalPathways
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,6,68,182,57622,ENSG00000117983;ENSG00000145113;ENSG00000169876;ENSG00000184956;ENSG00000205277;ENSG00000215182,8.503023426849244e-08,5.121588529195242e-07,C2_CanonicalPathways
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,10,320,182,57622,ENSG00000060718;ENSG00000101144;ENSG00000105664;ENSG00000118785;ENSG00000123500;ENSG00000137673;ENSG00000149968;ENSG00000163017;ENSG00000196611;ENSG00000275896,8.922129562682783e-08,5.251889901670093e-07,C2_CanonicalPathways
REACTOME_DISEASES_OF_METABOLISM,9,269,182,57622,ENSG00000090402;ENSG00000117983;ENSG00000136872;ENSG00000145113;ENSG00000155850;ENSG00000169876;ENSG00000184956;ENSG00000205277;ENSG00000215182,2.2518661341127866e-07,1.296074063856026e-06,C2_CanonicalPathways
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,7,140,182,57622,ENSG00000060718;ENSG00000118785;ENSG00000123500;ENSG00000137673;ENSG00000149968;ENSG00000196611;ENSG00000275896,3.521082101783325e-07,1.982522313830176e-06,C2_CanonicalPathways
REACTOME_DISEASES_OF_GLYCOSYLATION,7,144,182,57622,ENSG00000117983;ENSG00000145113;ENSG00000155850;ENSG00000169876;ENSG00000184956;ENSG00000205277;ENSG00000215182,4.2616589375930785e-07,2.348446095397037e-06,C2_CanonicalPathways
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,13,718,182,57622,ENSG00000016490;ENSG00000016602;ENSG00000066230;ENSG00000080493;ENSG00000091138;ENSG00000103375;ENSG00000104267;ENSG00000133742;ENSG00000148346;ENSG00000155850;ENSG00000167434;ENSG00000168243;ENSG00000177984,5.698763037692241e-07,3.074957555754772e-06,C2_CanonicalPathways
KEGG_NITROGEN_METABOLISM,4,23,182,57622,ENSG00000104267;ENSG00000107159;ENSG00000133742;ENSG00000167434,8.134928270038862e-07,4.213892843880131e-06,C2_CanonicalPathways
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,4,23,182,57622,ENSG00000066230;ENSG00000080493;ENSG00000104267;ENSG00000167434,8.134928270038862e-07,4.213892843880131e-06,C2_CanonicalPathways
WP_BURN_WOUND_HEALING,6,110,182,57622,ENSG00000145423;ENSG00000145824;ENSG00000149968;ENSG00000169429;ENSG00000196611;ENSG00000229807,1.490984586651101e-06,7.571862900835984e-06,C2_CanonicalPathways
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,6,111,182,57622,ENSG00000148346;ENSG00000149968;ENSG00000169429;ENSG00000196611;ENSG00000211892;ENSG00000211896,1.5720743982145344e-06,7.830139791107009e-06,C2_CanonicalPathways
KEGG_RETINOL_METABOLISM,5,62,182,57622,ENSG00000073737;ENSG00000135220;ENSG00000196616;ENSG00000197888;ENSG00000248144,1.663613608407558e-06,8.12973442599165e-06,C2_CanonicalPathways
REACTOME_ALPHA_DEFENSINS,3,8,182,57622,ENSG00000164816;ENSG00000164822;ENSG00000275896,1.7155532884772185e-06,8.228301883622214e-06,C2_CanonicalPathways
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,3,9,182,57622,ENSG00000104267;ENSG00000133742;ENSG00000167434,2.5673384324001706e-06,1.208983007257535e-05,C2_CanonicalPathways
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,6,126,182,57622,ENSG00000118785;ENSG00000145824;ENSG00000149968;ENSG00000163735;ENSG00000169429;ENSG00000196611,3.2882882962391384e-06,1.5208333370106015e-05,C2_CanonicalPathways
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,6,127,182,57622,ENSG00000117983;ENSG00000145113;ENSG00000169876;ENSG00000184956;ENSG00000205277;ENSG00000215182,3.442352050177624e-06,1.5641564578877272e-05,C2_CanonicalPathways
