pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
HALLMARK_PANCREAS_BETA_CELLS,4,40,149,57622,ENSG00000079689;ENSG00000115263;ENSG00000125851;ENSG00000157005,3.6495490083768787e-06,2.919639206701503e-05,Hallmark
HALLMARK_APICAL_JUNCTION,4,199,149,57622,ENSG00000062038;ENSG00000156284;ENSG00000162706;ENSG00000175161,0.001842335779851227,0.0050032109918838235,Hallmark
HALLMARK_KRAS_SIGNALING_UP,4,200,149,57622,ENSG00000138669;ENSG00000166292;ENSG00000175832;ENSG00000186462,0.001876204121956434,0.0050032109918838235,Hallmark
HALLMARK_HEME_METABOLISM,3,197,149,57622,ENSG00000118777;ENSG00000133742;ENSG00000196660,0.014762925764317732,0.029525851528635464,Hallmark
HALLMARK_BILE_ACID_METABOLISM,2,111,149,57622,ENSG00000141338;ENSG00000143171,0.033749498866108424,0.05399919818577348,Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2,200,149,57622,ENSG00000102683;ENSG00000104332,0.0949990027364784,0.0949990027364784,Hallmark
HALLMARK_KRAS_SIGNALING_DN,2,200,149,57622,ENSG00000073734;ENSG00000156284,0.0949990027364784,0.0949990027364784,Hallmark
HALLMARK_XENOBIOTIC_METABOLISM,2,200,149,57622,ENSG00000111846;ENSG00000198650,0.0949990027364784,0.0949990027364784,Hallmark
