pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT,2,255,149,57622,ENSG00000115263;ENSG00000186198,0.14140500924305055,0.16977329813440328,GO_BP
GOBP_MACROMOLECULE_CATABOLIC_PROCESS,7,1666,149,57622,ENSG00000092009;ENSG00000101255;ENSG00000103888;ENSG00000119147;ENSG00000133800;ENSG00000171617;ENSG00000197561,0.14190706817437956,0.17004729325373055,GO_BP
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,7,1667,149,57622,ENSG00000104332;ENSG00000133800;ENSG00000157193;ENSG00000165197;ENSG00000197561;ENSG00000204936;ENSG00000240505,0.1422159971441746,0.17004729325373055,GO_BP
GOBP_POSITIVE_REGULATION_OF_GROWTH,2,256,149,57622,ENSG00000104332;ENSG00000108231,0.14228893047323726,0.17004729325373055,GO_BP
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,3,505,149,57622,ENSG00000034971;ENSG00000104332;ENSG00000104435,0.14331412232542004,0.17100979627174356,GO_BP
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS,2,258,149,57622,ENSG00000104332;ENSG00000168309,0.14406033827717574,0.1716369727100195,GO_BP
GOBP_CELL_CYCLE_PROCESS,6,1371,149,57622,ENSG00000071539;ENSG00000104332;ENSG00000109132;ENSG00000119147;ENSG00000120498;ENSG00000168309,0.14577782029171474,0.1734176516620093,GO_BP
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS,4,784,149,57622,ENSG00000071539;ENSG00000104332;ENSG00000109132;ENSG00000168309,0.14637322117130117,0.17386010087217146,GO_BP
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,2,261,149,57622,ENSG00000164530;ENSG00000185149,0.14672618481123934,0.17401367649869542,GO_BP
GOBP_REGULATION_OF_HORMONE_SECRETION,2,262,149,57622,ENSG00000115263;ENSG00000119147,0.14761708237157115,0.1748037900838392,GO_BP
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,2,263,149,57622,ENSG00000104332;ENSG00000269404,0.14850910142681245,0.1755928281307904,GO_BP
GOBP_CELL_KILLING,2,267,149,57622,ENSG00000110887;ENSG00000197561,0.1520881605859324,0.17900845527360879,GO_BP
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,2,267,149,57622,ENSG00000034971;ENSG00000104332,0.1520881605859324,0.17900845527360879,GO_BP
GOBP_HEART_MORPHOGENESIS,2,267,149,57622,ENSG00000166292;ENSG00000185149,0.1520881605859324,0.17900845527360879,GO_BP
GOBP_HEART_PROCESS,2,270,149,57622,ENSG00000102683;ENSG00000136546,0.15478366547828307,0.18163151092323412,GO_BP
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,2,270,149,57622,ENSG00000015592;ENSG00000104435,0.15478366547828307,0.18163151092323412,GO_BP
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,3,533,149,57622,ENSG00000103888;ENSG00000115263;ENSG00000186198,0.16037723317742036,0.18791187863257988,GO_BP
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,3,536,149,57622,ENSG00000101255;ENSG00000119147;ENSG00000171617,0.16224136532410138,0.1898101988303021,GO_BP
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION,4,821,149,57622,ENSG00000073734;ENSG00000101255;ENSG00000168309;ENSG00000171617,0.16428757613120223,0.19191551686197497,GO_BP
