pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_ORGANIC_ACID_METABOLIC_PROCESS,9,949,182,57622,ENSG00000015413;ENSG00000073067;ENSG00000073737;ENSG00000080493;ENSG00000136872;ENSG00000163586;ENSG00000164398;ENSG00000196616;ENSG00000248144,0.0033970537611508326,0.012815425563393662,GO_BP
GOBP_RESPONSE_TO_GROWTH_FACTOR,8,775,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000106483;ENSG00000114374;ENSG00000145423;ENSG00000148346;ENSG00000169429;ENSG00000243709,0.003418807449712309,0.012836654386655651,GO_BP
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,2,28,182,57622,ENSG00000137673;ENSG00000175426,0.0035530826324693516,0.013278186739181238,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,9,960,182,57622,ENSG00000105664;ENSG00000115386;ENSG00000124882;ENSG00000145423;ENSG00000163735;ENSG00000166869;ENSG00000167244;ENSG00000172016;ENSG00000172023,0.00366134003453367,0.013607634066956012,GO_BP
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,3,97,182,57622,ENSG00000108244;ENSG00000171431;ENSG00000175084,0.0036754287994918873,0.013607634066956012,GO_BP
GOBP_PROSTATE_GLAND_MORPHOGENESIS,2,29,182,57622,ENSG00000101144;ENSG00000206075,0.0038083776675614917,0.01403457696008772,GO_BP
GOBP_PROTEIN_MATURATION,7,624,182,57622,ENSG00000105664;ENSG00000112818;ENSG00000129451;ENSG00000140274;ENSG00000166825;ENSG00000167755;ENSG00000175426,0.0038807376243538507,0.01423533248380491,GO_BP
GOBP_TAXIS,6,470,182,57622,ENSG00000015413;ENSG00000100604;ENSG00000145824;ENSG00000163735;ENSG00000169429;ENSG00000188373,0.003974907938602886,0.014513884032696775,GO_BP
GOBP_AXIS_ELONGATION,2,30,182,57622,ENSG00000140807;ENSG00000145423,0.0040719639923148705,0.014600375395867735,GO_BP
GOBP_AMIDE_TRANSPORT,5,328,182,57622,ENSG00000100604;ENSG00000103375;ENSG00000104267;ENSG00000137673;ENSG00000183844,0.004021704024586936,0.014600375395867735,GO_BP
GOBP_ANDROGEN_METABOLIC_PROCESS,2,30,182,57622,ENSG00000073737;ENSG00000118785,0.0040719639923148705,0.014600375395867735,GO_BP
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION,7,629,182,57622,ENSG00000101144;ENSG00000137673;ENSG00000140274;ENSG00000140279;ENSG00000148346;ENSG00000169429;ENSG00000183734,0.004051714506806706,0.014600375395867735,GO_BP
GOBP_THYROID_HORMONE_METABOLIC_PROCESS,2,31,182,57622,ENSG00000140274;ENSG00000140279,0.00434378727135161,0.015231958889849698,GO_BP
GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,2,31,182,57622,ENSG00000101144;ENSG00000145423,0.00434378727135161,0.015231958889849698,GO_BP
GOBP_RESPONSE_TO_IRON_ION,2,31,182,57622,ENSG00000148346;ENSG00000160182,0.00434378727135161,0.015231958889849698,GO_BP
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,2,31,182,57622,ENSG00000073737;ENSG00000134240,0.00434378727135161,0.015231958889849698,GO_BP
GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS,2,31,182,57622,ENSG00000101144;ENSG00000204936,0.00434378727135161,0.015231958889849698,GO_BP
GOBP_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,3,104,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000185269,0.004467055843059811,0.015595510750331621,GO_BP
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,4,212,182,57622,ENSG00000117983;ENSG00000164816;ENSG00000166825;ENSG00000169429,0.0047311496897971305,0.01637389196990659,GO_BP
GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,3,106,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000163586,0.004710675150392454,0.01637389196990659,GO_BP
GOBP_TRANSMEMBRANE_TRANSPORT,12,1585,182,57622,ENSG00000016490;ENSG00000016602;ENSG00000066230;ENSG00000080493;ENSG00000091138;ENSG00000103375;ENSG00000104267;ENSG00000134827;ENSG00000148346;ENSG00000155850;ENSG00000163586;ENSG00000179914,0.004766464391781024,0.01642469980890777,GO_BP
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,5,344,182,57622,ENSG00000100604;ENSG00000154269;ENSG00000183734;ENSG00000188373;ENSG00000204936,0.004909434805491924,0.016780666069047274,GO_BP
GOBP_INTRACELLULAR_SODIUM_ION_HOMEOSTASIS,2,33,182,57622,ENSG00000066230;ENSG00000166869,0.004911928635788964,0.016780666069047274,GO_BP
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,3,108,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000163586,0.004962181793351567,0.016879900459435247,GO_BP
GOBP_ORGANIC_ACID_TRANSPORT,5,346,182,57622,ENSG00000091138;ENSG00000155850;ENSG00000163586;ENSG00000165376;ENSG00000188257,0.005029409562663967,0.01703578728459795,GO_BP
GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION,12,1598,182,57622,ENSG00000066405;ENSG00000100604;ENSG00000101144;ENSG00000102837;ENSG00000106483;ENSG00000140807;ENSG00000145423;ENSG00000149968;ENSG00000154269;ENSG00000169429;ENSG00000185269;ENSG00000198842,0.005077872570551958,0.01712706172101423,GO_BP
GOBP_ACUTE_INFLAMMATORY_RESPONSE,3,110,182,57622,ENSG00000148346;ENSG00000172016;ENSG00000211896,0.005221646233896904,0.01753768102186471,GO_BP
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,5,353,182,57622,ENSG00000134240;ENSG00000148346;ENSG00000149968;ENSG00000163735;ENSG00000169429,0.0054657068799159126,0.0182037768887576,GO_BP
GOBP_CELLULAR_RESPONSE_TO_LIPID,7,665,182,57622,ENSG00000012817;ENSG00000118785;ENSG00000134240;ENSG00000148346;ENSG00000149968;ENSG00000163735;ENSG00000169429,0.005456933045777187,0.0182037768887576,GO_BP
GOBP_ATP_METABOLIC_PROCESS,4,224,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000154269;ENSG00000163586,0.005736517641127807,0.019026116843073895,GO_BP
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,2,36,182,57622,ENSG00000117983;ENSG00000169429,0.005824574188171637,0.019085053182799974,GO_BP
GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN,2,36,182,57622,ENSG00000104267;ENSG00000188257,0.005824574188171637,0.019085053182799974,GO_BP
GOBP_BONE_DEVELOPMENT,4,225,182,57622,ENSG00000066405;ENSG00000105664;ENSG00000106483;ENSG00000185269,0.005826215984196474,0.019085053182799974,GO_BP
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS,7,674,182,57622,ENSG00000080493;ENSG00000134240;ENSG00000136872;ENSG00000154269;ENSG00000163586;ENSG00000164398;ENSG00000167080,0.005859245662900012,0.01911458831011643,GO_BP
GOBP_REGULATION_OF_CELL_DIFFERENTIATION,12,1640,182,57622,ENSG00000066405;ENSG00000101144;ENSG00000106483;ENSG00000118785;ENSG00000124882;ENSG00000145423;ENSG00000167244;ENSG00000167755;ENSG00000172016;ENSG00000183734;ENSG00000184292;ENSG00000188257,0.006196654991037529,0.020132805603534178,GO_BP
GOBP_GRANULOCYTE_CHEMOTAXIS,3,120,182,57622,ENSG00000015413;ENSG00000163735;ENSG00000169429,0.006640642915703697,0.02140061441659977,GO_BP
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,9,1054,182,57622,ENSG00000066405;ENSG00000101144;ENSG00000118785;ENSG00000124882;ENSG00000145423;ENSG00000167244;ENSG00000172016;ENSG00000183734;ENSG00000184292,0.0066356447333494025,0.02140061441659977,GO_BP
